# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 66775
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 66775
DATA ascii
0.22043538 -0.04217127 0.50778651
0.2214043 -0.041680455 0.50813043
0.22237322 -0.041189656 0.50847441
0.22334212 -0.040698841 0.50881839
0.22431102 -0.040208042 0.50916231
0.22527528 -0.039522603 0.50842643
0.22624198 -0.039032914 0.50876963
0.22720867 -0.038543232 0.50911272
0.22817536 -0.03805355 0.50945592
0.22914204 -0.037563868 0.50979906
0.23009302 -0.036885165 0.50905848
0.23105749 -0.0363966 0.50940084
0.23202196 -0.035908043 0.50974321
0.23298645 -0.035419486 0.51008558
0.2339263 -0.034746386 0.509341
0.23488855 -0.034258939 0.5096826
0.23585081 -0.033771507 0.51002419
0.23681307 -0.033284068 0.51036572
0.23774186 -0.032616593 0.50961733
0.23870189 -0.032130279 0.50995809
0.23966193 -0.031643964 0.51029885
0.24062198 -0.03115765 0.51063967
0.24153966 -0.030495778 0.50988722
0.24249747 -0.030010581 0.5102272
0.24345532 -0.029525384 0.51056725
0.24436414 -0.028868034 0.5098117
0.24531975 -0.02838397 0.51015091
0.24627537 -0.027899906 0.51049018
0.24723098 -0.027415834 0.51082933
0.2481287 -0.026764058 0.51006985
0.2490821 -0.026281111 0.51040828
0.25003546 -0.025798172 0.51074672
0.2509889 -0.025315225 0.51108515
0.25187552 -0.024669074 0.51032174
0.25282669 -0.024187252 0.51065934
0.25377786 -0.023705438 0.51099706
0.25472903 -0.023223609 0.51133466
0.25560462 -0.022583097 0.51056731
0.25655356 -0.022102401 0.51090419
0.25750253 -0.021621704 0.51124102
0.25845146 -0.021141008 0.51157784
0.25940043 -0.020660311 0.51191473
0.26034939 -0.020179622 0.51225162
0.26120943 -0.019546926 0.51147866
0.26215619 -0.019067362 0.51181477
0.26310289 -0.018587783 0.51215088
0.26404965 -0.018108219 0.51248693
0.26499641 -0.017628625 0.51282299
0.26594311 -0.017149065 0.51315904
